,game_str,play_id,at_bat,timestamp,player_position,event_code,Season,HomeTeam,AwayTeam,Day,inning,top_bottom,pitcher,pitcher_hand,first_baserunner,second_baserunner,third_baserunner,field_x_1b,field_y_1b,field_x_runner,field_y_runner,distance_from_1b,distance_to_baseline,lead_distance,pitch_label,group_number
69,1884_017_Vis1AL_Home1A,122,37.0,4595557,1,6,Season_1884,Home1A,Vis1AL,day_017,6.0,top,402.0,Right,2448.0,,,61.5363,61.8798,54.9558,72.6468,11.80046066388935,0.8805032440999407,11.767564995237091,before,16
70,1884_017_Vis1AL_Home1A,123,37.0,4614301,1,1,Season_1884,Home1A,Vis1AL,day_017,6.0,top,402.0,Right,2448.0,,,59.4396,64.4112,52.9212,75.5103,15.303478020698433,1.437412824384441,15.235822390087618,pickoff,16
71,1884_017_Vis1AL_Home1A,158,46.0,5709639,1,1,Season_1884,Home1A,Vis1AL,day_017,7.0,top,504.0,Right,5838.0,,,59.6085,64.7907,55.5474,74.2344,12.716083285351656,2.415439913033758,12.484567439303744,after,16
75,1884_018_Vis1AL_Home1A,15,6.0,586975,1,6,Season_1884,Home1A,Vis1AL,day_018,1.0,bottom,9570.0,Right,753.0,,,60.3372,62.5611,55.5966,70.9896,10.138268871952445,0.17552045623580734,10.13674939462561,before,18
76,1884_018_Vis1AL_Home1A,16,6.0,605925,1,1,Season_1884,Home1A,Vis1AL,day_018,1.0,bottom,9570.0,Right,753.0,,,57.579,63.1635,52.9938,74.6991,14.635536315762398,0.9204293448564534,14.606564725188708,pickoff,18
77,1884_018_Vis1AL_Home1A,17,6.0,628025,1,6,Season_1884,Home1A,Vis1AL,day_018,1.0,bottom,9570.0,Right,753.0,,,60.261,62.7246,55.6644,71.0643,10.146218697130474,0.2762384729803533,10.14245759942064,after,18
78,1884_018_Vis1AL_Home1A,18,6.0,647425,1,1,Season_1884,Home1A,Vis1AL,day_018,1.0,bottom,9570.0,Right,753.0,,,57.9642,63.1752,52.5123,74.703,14.958226909964964,0.579834380872171,14.946984457768014,before,19
79,1884_018_Vis1AL_Home1A,19,6.0,677525,1,6,Season_1884,Home1A,Vis1AL,day_018,1.0,bottom,9570.0,Right,753.0,,,59.7111,61.4817,60.906,66.6393,3.4348328183479366,0.9112498332706643,3.311751837225159,pickoff,19
80,1884_018_Vis1AL_Home1A,20,6.0,690925,1,6,Season_1884,Home1A,Vis1AL,day_018,1.0,bottom,9570.0,Right,753.0,,,60.3093,62.4729,59.0271,68.7753,6.244549983785863,1.0691135803714782,6.152349197848355,after,19
81,1884_018_Vis1AL_Home1A,21,6.0,711025,1,1,Season_1884,Home1A,Vis1AL,day_018,1.0,bottom,9570.0,Right,753.0,,,57.519,63.4425,52.5468,74.6886,14.924364783802353,0.5943381437931617,14.912525821296416,before,20
82,1884_018_Vis1AL_Home1A,56,16.0,1842625,1,1,Season_1884,Home1A,Vis1AL,day_018,2.0,top,364.0,Left,4938.0,,,58.6839,65.103,52.2792,75.2283,15.50468243886343,0.781923930297639,15.484953099613442,pickoff,20
83,1884_018_Vis1AL_Home1A,57,16.0,1859775,1,6,Season_1884,Home1A,Vis1AL,day_018,2.0,top,364.0,Left,4938.0,,,60.5874,62.3694,55.9218,72.1122,10.775425749361368,1.1944811581409582,10.709015587011079,after,20
84,1884_018_Vis1AL_Home1A,58,16.0,1875475,1,1,Season_1884,Home1A,Vis1AL,day_018,2.0,top,364.0,Left,4938.0,,,58.5714,65.016,52.8519,75.774,15.552166588935446,1.5728849742766973,15.472424453449259,before,21
85,1884_018_Vis1AL_Home1A,62,16.0,1975225,1,1,Season_1884,Home1A,Vis1AL,day_018,2.0,top,364.0,Left,4938.0,,,58.4838,65.3877,52.2801,76.0065,16.09404431024098,1.3281789081491975,16.03914595756107,pickoff,21
86,1884_018_Vis1AL_Home1A,63,16.0,2000725,1,6,Season_1884,Home1A,Vis1AL,day_018,2.0,top,364.0,Left,4938.0,,,60.4944,62.7129,56.9808,72.1248,10.165769605888176,1.9584259332365022,9.97534157530591,after,21
87,1884_018_Vis1AL_Home1A,64,16.0,2014525,1,1,Season_1884,Home1A,Vis1AL,day_018,2.0,top,364.0,Left,4938.0,,,58.5795,64.719,50.6874,77.3754,18.168520796146282,1.1522842630331336,18.131943880818906,before,22
88,1884_018_Vis1AL_Home1A,82,22.0,2669325,1,1,Season_1884,Home1A,Vis1AL,day_018,3.0,top,364.0,Left,3378.0,,,58.6728,63.5271,55.0218,74.2974,13.065472130772768,2.084836149723972,12.898062654088948,pickoff,22
89,1884_018_Vis1AL_Home1A,83,22.0,2693275,1,6,Season_1884,Home1A,Vis1AL,day_018,3.0,top,364.0,Left,3378.0,,,60.912,62.094,55.6761,73.9584,12.415039821522923,2.313698608541989,12.197541248908765,after,22
90,1884_018_Vis1AL_Home1A,84,22.0,2715275,1,1,Season_1884,Home1A,Vis1AL,day_018,3.0,top,364.0,Left,3378.0,,,58.8753,63.9975,54.6222,75.2826,14.10236560297598,2.4906504056041077,13.880683562312921,before,23
91,1884_018_Vis1AL_Home1A,87,23.0,2796625,1,1,Season_1884,Home1A,Vis1AL,day_018,3.0,top,364.0,Left,3378.0,,,59.7576,63.7341,52.092,77.2041,17.145931086120694,2.0337197191157705,17.02489168582519,pickoff,23
92,1884_018_Vis1AL_Home1A,88,23.0,2818975,1,6,Season_1884,Home1A,Vis1AL,day_018,3.0,top,364.0,Left,3378.0,,,60.393,62.0769,60.0129,65.6181,3.240815024033302,0.4415531851702119,3.2105938398785376,after,23
93,1884_018_Vis1AL_Home1A,89,23.0,2846025,1,1,Season_1884,Home1A,Vis1AL,day_018,3.0,top,364.0,Left,3378.0,,,59.3823,63.7725,52.8864,77.2584,16.71606112455921,2.638230584102644,16.50655745166463,before,24
97,1884_020_Vis1AM_Home1A,3,2.0,103798,1,1,Season_1884,Home1A,Vis1AM,day_020,1.0,top,741.0,Right,8925.0,,,59.2848,64.35,53.6601,75.6243,14.939479994296992,2.04420689358433,14.7989621486178,pickoff,24
98,1884_020_Vis1AM_Home1A,4,2.0,125148,1,6,Season_1884,Home1A,Vis1AM,day_020,1.0,top,741.0,Right,8925.0,,,60.7443,62.3304,55.7361,73.5009,12.003179412972214,2.0357177068467145,11.829292854521388,after,24
99,1884_020_Vis1AM_Home1A,5,2.0,140398,1,1,Season_1884,Home1A,Vis1AM,day_020,1.0,top,741.0,Right,8925.0,,,59.4483,63.9063,53.7858,75.2793,14.588051896329409,1.8919490385779045,14.464846593221242,before,25
100,1884_020_Vis1AM_Home1A,104,28.0,3327748,1,1,Season_1884,Home1A,Vis1AM,day_020,4.0,bottom,7634.0,Right,963.0,,,56.8248,64.1625,52.1376,77.5626,17.403520003723386,2.317586681308217,17.248515892523123,pickoff,25
101,1884_020_Vis1AM_Home1A,105,28.0,3346348,1,6,Season_1884,Home1A,Vis1AM,day_020,4.0,bottom,7634.0,Right,963.0,,,57.0192,72.1206,60.6153,62.4936,2.274704167578721,2.202673255155019,0.5678992701393388,after,25
102,1884_020_Vis1AM_Home1A,106,28.0,3364148,1,1,Season_1884,Home1A,Vis1AM,day_020,4.0,bottom,7634.0,Right,963.0,,,58.3563,63.5061,53.8719,75.2289,14.495985955429177,1.9180053310424297,14.368537307954933,before,26
103,1884_020_Vis1AM_Home1A,107,28.0,3385648,1,1,Season_1884,Home1A,Vis1AM,day_020,4.0,bottom,7634.0,Right,963.0,,,58.4475,63.489,53.2203,76.6572,16.03282507638626,2.4548004185688295,15.843782213694885,pickoff,26
104,1884_020_Vis1AM_Home1A,108,28.0,3406098,1,6,Season_1884,Home1A,Vis1AM,day_020,4.0,bottom,7634.0,Right,963.0,,,60.8835,62.6073,57.2472,71.769,9.722108662219327,1.8989208568039893,9.534856916576928,after,26
105,1884_020_Vis1AM_Home1A,109,28.0,3424548,1,6,Season_1884,Home1A,Vis1AM,day_020,4.0,bottom,7634.0,Right,963.0,,,60.5226,62.6184,56.3835,72.6498,10.934948938609635,1.900615539101932,10.768508200420532,before,27
106,1884_020_Vis1AM_Home1A,110,28.0,3444148,1,1,Season_1884,Home1A,Vis1AM,day_020,4.0,bottom,7634.0,Right,963.0,,,58.7667,63.1221,53.1531,76.3719,15.84196077573732,2.2068539061856445,15.687495563561221,pickoff,27
107,1884_020_Vis1AM_Home1A,111,28.0,3463348,1,6,Season_1884,Home1A,Vis1AM,day_020,4.0,bottom,7634.0,Right,963.0,,,60.0552,66.7662,57.3081,71.7186,9.64659046347464,1.9070085108983472,9.456216268114913,after,27
117,1884_021_Vis1AM_Home1A,175,55.0,6717686,1,1,Season_1884,Home1A,Vis1AM,day_021,7.0,bottom,2259.0,Right,963.0,,,58.7997,62.9481,53.5182,75.5649,14.977298129168686,1.9013796921102875,14.856117074001215,before,30
118,1884_022_Vis1AM_Home1A,45,15.0,1458559,1,1,Season_1884,Home1A,Vis1AM,day_022,2.0,bottom,7784.0,Right,737.0,,,58.3914,61.6422,54.0504,74.5374,13.838619978885179,1.5604572339795755,13.750359127707204,pickoff,30
119,1884_022_Vis1AM_Home1A,46,15.0,1476709,1,6,Season_1884,Home1A,Vis1AM,day_022,2.0,bottom,7784.0,Right,737.0,,,60.393,62.0337,56.394,70.6134,9.32174359012304,0.48033736831523777,9.309359783175209,after,30
120,1884_022_Vis1AM_Home1A,47,15.0,1494265,1,6,Season_1884,Home1A,Vis1AM,day_022,2.0,bottom,7784.0,Right,737.0,,,60.429,61.9806,56.8836,70.5471,8.953044363231982,0.7829579452134563,8.918743197672365,before,31
121,1884_022_Vis1AM_Home1A,48,15.0,1513372,1,1,Season_1884,Home1A,Vis1AM,day_022,2.0,bottom,7784.0,Right,737.0,,,58.5399,61.9647,53.6667,74.8458,14.318410195618783,1.5030893881328038,14.23929748341829,pickoff,31
122,1884_022_Vis1AM_Home1A,56,17.0,1756582,1,1,Season_1884,Home1A,Vis1AM,day_022,2.0,bottom,7784.0,Right,892.0,,,58.0533,62.0808,51.432,78.1695,18.31349978158189,2.2399758270171013,18.175994678266687,after,31
123,1884_022_Vis1AM_Home1A,57,17.0,1776745,1,6,Season_1884,Home1A,Vis1AM,day_022,2.0,bottom,7784.0,Right,892.0,,,60.2997,61.9236,56.2998,72.2292,10.640266382003793,1.5460420227834577,10.52734642461184,before,32
124,1884_022_Vis1AM_Home1A,58,17.0,1791793,1,1,Season_1884,Home1A,Vis1AM,day_022,2.0,bottom,7784.0,Right,892.0,,,58.8792,61.9422,53.196,76.3479,15.797157288892198,2.2206164427918913,15.640301820105716,pickoff,32
125,1884_022_Vis1AM_Home1A,101,29.0,3181491,1,1,Season_1884,Home1A,Vis1AM,day_022,3.0,bottom,7784.0,Right,737.0,,,58.8018,61.7604,54.8187,73.7889,12.776460734491376,1.583496878371969,12.677952773858488,after,32
132,1884_030_Vis1AN_Home1A,7,2.0,182095,1,1,Season_1884,Home1A,Vis1AN,day_030,1.0,top,402.0,Right,2349.0,,,59.4561,64.4421,54.693,73.9734,12.999381699142463,1.6232246316781938,12.897638014578995,before,34
133,1884_030_Vis1AN_Home1A,8,2.0,207795,1,6,Season_1884,Home1A,Vis1AN,day_030,1.0,top,402.0,Right,2349.0,,,60.5829,61.7985,55.8036,71.904,10.687061942367503,0.9642260604381633,10.643475046448494,pickoff,34
134,1884_030_Vis1AN_Home1A,9,2.0,222395,1,6,Season_1884,Home1A,Vis1AN,day_030,1.0,top,402.0,Right,2349.0,,,60.5844,61.6701,56.0886,71.9289,10.528254231827798,1.1849007449218103,10.46136450921598,after,34
144,1884_030_Vis1AN_Home1A,154,39.0,4675696,1,1,Season_1884,Home1A,Vis1AN,day_030,4.0,bottom,7980.0,Right,753.0,,,58.5519,62.7072,53.5476,73.4394,13.327133604792893,0.4321080184097341,13.320126605270163,before,36
145,1884_031_Vis1AN_Home1A,30,9.0,830040,1,1,Season_1884,Home1A,Vis1AN,day_031,1.0,bottom,9412.0,Right,630.0,,,58.7337,62.3439,53.799,73.8894,13.49652404732418,0.92687153542631,13.46466005945996,pickoff,36
146,1884_031_Vis1AN_Home1A,31,9.0,847940,1,6,Season_1884,Home1A,Vis1AN,day_031,1.0,bottom,9412.0,Right,630.0,,,60.2727,61.8261,57.1779,70.4181,8.667486603393161,0.9023612172561731,8.620386780974036,after,36
147,1884_031_Vis1AN_Home1A,32,9.0,866640,1,1,Season_1884,Home1A,Vis1AN,day_031,1.0,bottom,9412.0,Right,630.0,,,59.133,62.3739,54.7887,73.7226,12.742181071151045,1.5156212450660744,12.65172204450858,before,37
148,1884_031_Vis1AN_Home1A,33,9.0,887690,1,6,Season_1884,Home1A,Vis1AN,day_031,1.0,bottom,9412.0,Right,630.0,,,60.18,61.7004,57.3234,70.3581,8.530223395081743,0.9640413848693957,8.475572864311827,pickoff,37
149,1884_031_Vis1AN_Home1A,34,9.0,904090,1,1,Season_1884,Home1A,Vis1AN,day_031,1.0,bottom,9412.0,Right,630.0,,,59.0301,61.9986,54.2616,73.6827,13.040383500879102,1.1118024528772088,12.992901798896817,after,37
162,1884_033_Vis1AO_Home1A,106,36.0,4089379,1,1,Season_1884,Home1A,Vis1AO,day_033,5.0,bottom,7756.0,Right,753.0,,,60.5682,62.2992,53.5956,74.0766,13.77105888884366,0.9130890168393783,13.740754395859321,before,40
163,1884_033_Vis1AO_Home1A,108,36.0,4140679,1,1,Season_1884,Home1A,Vis1AO,day_033,5.0,bottom,7756.0,Right,753.0,,,61.1103,63.2601,53.2323,74.2098,14.110285869889381,0.7474306145819059,14.090476031929711,pickoff,40
164,1884_033_Vis1AO_Home1A,109,36.0,4165929,1,6,Season_1884,Home1A,Vis1AO,day_033,5.0,bottom,7756.0,Right,753.0,,,60.5313,62.8233,61.221,64.6197,1.6753188024970034,0.280128438776337,1.6517327713007106,after,40
186,1884_034_Vis1AO_Home1A,77,22.0,2493154,1,6,Season_1884,Home1A,Vis1AO,day_034,3.0,top,523.0,Right,3156.0,,,60.8565,61.9224,56.0316,72.3591,10.904322416821687,1.445880136111616,10.808037657317715,before,44
187,1884_034_Vis1AO_Home1A,78,22.0,2523254,1,1,Season_1884,Home1A,Vis1AO,day_034,3.0,top,523.0,Right,3156.0,,,58.6488,63.9612,54.576,74.8368,13.763442383357438,2.1451476568292183,13.595245042675765,pickoff,44
191,1884_034_Vis1AO_Home1A,226,65.0,8025154,1,1,Season_1884,Home1A,Vis1AO,day_034,7.0,bottom,2528.0,Right,626.0,,,59.1462,62.2506,54.2715,74.3217,13.532549173751413,1.5668786012222022,13.441531854257981,after,44
192,1884_034_Vis1AO_Home1A,227,65.0,8055354,1,6,Season_1884,Home1A,Vis1AO,day_034,7.0,bottom,2528.0,Right,626.0,,,60.1881,61.674,57.4584,70.8867,8.87386316380865,1.4309151049419788,8.757735404341066,before,45
193,1884_034_Vis1AO_Home1A,228,65.0,8085804,1,1,Season_1884,Home1A,Vis1AO,day_034,7.0,bottom,2528.0,Right,626.0,,,59.2152,62.2584,53.9571,74.7411,14.056629241037841,1.6367490672094482,13.961012789586187,pickoff,45
194,1884_034_Vis1AO_Home1A,230,65.0,8133204,1,1,Season_1884,Home1A,Vis1AO,day_034,7.0,bottom,2528.0,Right,626.0,,,59.2272,62.2065,53.9724,74.6643,13.986635344141916,1.5938124181433426,13.895529145224083,after,45
198,1884_034_Vis1AO_Home1A,242,70.0,8787554,1,6,Season_1884,Home1A,Vis1AO,day_034,8.0,top,344.0,Left,9130.0,,,60.8436,62.2404,55.5546,72.4152,11.241013308416637,1.1450924326829865,11.182537436584422,before,47
199,1884_034_Vis1AO_Home1A,243,70.0,8802054,1,1,Season_1884,Home1A,Vis1AO,day_034,8.0,top,344.0,Left,9130.0,,,59.6901,62.973,54.3069,74.5884,13.722669061447188,1.779109531682204,13.606851782990708,pickoff,47
200,1884_035_Vis1AO_Home1A,13,3.0,296783,1,1,Season_1884,Home1A,Vis1AO,day_035,1.0,top,733.0,Left,5934.0,,,58.9158,64.2723,54.7662,73.089,12.261283433637768,1.0553468370324486,12.21578137057002,after,47
201,1884_035_Vis1AO_Home1A,14,3.0,319233,1,6,Season_1884,Home1A,Vis1AO,day_035,1.0,top,733.0,Left,5934.0,,,60.3243,62.43,56.1582,70.8048,9.621531805279238,0.44639702762263656,9.611170790997818,before,48
202,1884_035_Vis1AO_Home1A,15,3.0,339333,1,1,Season_1884,Home1A,Vis1AO,day_035,1.0,top,733.0,Left,5934.0,,,58.9836,64.2267,53.1894,74.4129,14.291212081905433,0.8592390512747351,14.265358426018055,pickoff,48
206,1884_035_Vis1AO_Home1A,50,14.0,1544033,1,1,Season_1884,Home1A,Vis1AO,day_035,2.0,bottom,9314.0,Left,892.0,,,60.0438,62.8551,55.5996,73.5837,12.149203836054436,1.9964404946205623,11.984046862451725,after,48
207,1884_035_Vis1AO_Home1A,51,14.0,1565833,1,6,Season_1884,Home1A,Vis1AO,day_035,2.0,bottom,9314.0,Left,892.0,,,60.924,62.2542,58.3005,70.5012,8.086419831421068,1.7610845230928465,7.892323294982459,before,49
208,1884_035_Vis1AO_Home1A,52,14.0,1588383,1,1,Season_1884,Home1A,Vis1AO,day_035,2.0,bottom,9314.0,Left,892.0,,,55.9989,73.6443,59.8746,62.7384,2.8516787546987103,2.5591881786486206,1.2580252725065355,pickoff,49
209,1884_035_Vis1AO_Home1A,90,24.0,3009383,1,1,Season_1884,Home1A,Vis1AO,day_035,4.0,top,733.0,Left,4370.0,,,58.0785,64.533,55.6353,72.5538,11.299764976759468,1.2998103850155271,11.224757524909199,after,49
210,1884_035_Vis1AO_Home1A,91,25.0,3050183,1,6,Season_1884,Home1A,Vis1AO,day_035,4.0,top,733.0,Left,4370.0,,,60.5343,62.3961,57.2496,70.5726,8.744947508132904,1.0618096405929085,8.68024580338275,before,50
211,1884_035_Vis1AO_Home1A,92,25.0,3063983,1,1,Season_1884,Home1A,Vis1AO,day_035,4.0,top,733.0,Left,4370.0,,,58.7967,64.0941,56.1933,71.9949,10.516382025202393,1.3058302196148963,10.434993930881824,pickoff,50
212,1884_035_Vis1AO_Home1A,177,61.0,7753618,1,1,Season_1884,Home1A,Vis1AO,day_035,8.0,bottom,4333.0,Right,626.0,,,59.6733,62.8932,54.5229,75.0819,13.994067886786889,2.279130202646237,13.80722642457151,after,50
213,1884_035_Vis1AO_Home1A,178,61.0,7776018,1,6,Season_1884,Home1A,Vis1AO,day_035,8.0,bottom,4333.0,Right,626.0,,,60.8946,62.4996,56.8077,72.345,10.444925671827443,1.9893855934222047,10.253722116903898,before,51
214,1884_035_Vis1AO_Home1A,179,61.0,7797968,1,1,Season_1884,Home1A,Vis1AO,day_035,8.0,bottom,4333.0,Right,626.0,,,59.5566,63.3438,54.1653,75.3687,14.435012288875962,2.2252284942684986,14.262466053537011,pickoff,51
215,1884_044.5_Vis1AP_Home1A,8,3.0,222241,1,1,Season_1884,Home1A,Vis1AP,day_044.5,1.0,top,741.0,Right,8537.0,,,58.6473,64.8291,56.4351,73.3491,11.490274967118939,2.4277031700794236,11.230880470292009,after,51
216,1884_044.5_Vis1AP_Home1A,9,3.0,246041,1,6,Season_1884,Home1A,Vis1AP,day_044.5,1.0,top,741.0,Right,8537.0,,,60.57,62.2212,57.45,72.6348,10.354869725882597,2.6505571524765434,10.009888801652862,before,52
217,1884_044.5_Vis1AP_Home1A,10,3.0,262691,1,1,Season_1884,Home1A,Vis1AP,day_044.5,1.0,top,741.0,Right,8537.0,,,59.0535,64.2519,56.0874,73.4742,11.784114069373219,2.2674891213778494,11.563902346718125,pickoff,52
218,1884_044.5_Vis1AP_Home1A,66,20.0,2492045,1,1,Season_1884,Home1A,Vis1AP,day_044.5,3.0,top,741.0,Right,8537.0,,,59.0403,64.0926,56.0832,72.9702,11.369302629449182,1.911128795313675,11.207525552401073,after,52
219,1884_044.5_Vis1AP_Home1A,67,20.0,2519645,1,6,Season_1884,Home1A,Vis1AP,day_044.5,3.0,top,741.0,Right,8537.0,,,60.5481,62.3079,56.7483,72.3897,10.515035662326593,1.9783711050004649,10.327246620028946,before,53
220,1884_044.5_Vis1AP_Home1A,68,20.0,2555895,1,1,Season_1884,Home1A,Vis1AP,day_044.5,3.0,top,741.0,Right,8537.0,,,58.8558,64.2012,56.2338,73.3374,11.58938398708059,2.2759648465705706,11.36370561116289,pickoff,53
221,1884_044.5_Vis1AP_Home1A,115,36.0,4558795,1,1,Season_1884,Home1A,Vis1AP,day_044.5,5.0,top,741.0,Right,7626.0,,,58.4034,64.4166,56.5767,73.995,11.96936238443803,2.981524587834638,11.592072593895258,after,53
228,1884_044_Vis1AP_Home1A,25,6.0,693474,1,1,Season_1884,Home1A,Vis1AP,day_044,1.0,bottom,660788.0,Right,753.0,,,60.1743,62.0838,50.3919,77.2539,18.27260394196733,0.8563942482364353,18.252524310669678,before,55
232,1884_044_Vis1AP_Home1A,45,10.0,1171624,1,1,Season_1884,Home1A,Vis1AP,day_044,1.0,bottom,660788.0,Right,963.0,,,60.0507,61.4961,52.9755,76.7193,16.226968562858563,2.323787615753489,16.059717303143003,pickoff,55
233,1884_044_Vis1AP_Home1A,46,10.0,1184424,1,6,Season_1884,Home1A,Vis1AP,day_044,1.0,bottom,660788.0,Right,963.0,,,61.6176,60.9306,56.6241,73.3743,11.411807100542845,2.5801362355058592,11.11630506536366,after,55
240,1884_045_Vis1AP_Home1A,22,6.0,660956,1,6,Season_1884,Home1A,Vis1AP,day_045,1.0,bottom,6467.0,Right,753.0,,,59.2083,64.5693,55.659,71.3706,10.376050181066008,0.48714175857691994,10.364608543840454,before,57
241,1884_045_Vis1AP_Home1A,23,6.0,680056,1,1,Season_1884,Home1A,Vis1AP,day_045,1.0,bottom,6467.0,Right,753.0,,,57.6768,66.3807,52.5627,75.2838,15.35983000329105,1.022983390120121,15.325726172470207,pickoff,57
242,1884_045_Vis1AP_Home1A,27,7.0,774806,1,1,Season_1884,Home1A,Vis1AP,day_045,1.0,bottom,6467.0,Right,626.0,,,57.2163,66.2055,56.1795,72.8253,11.19536226926132,1.8782020668829138,11.036688513134576,after,57
